,id,title,release_date,vote_average,vote_count,popularity
0,569094,Spider-Man: Across the Spider-Verse,2023-05-31,8.8,1033,3040.832
1,238,The Godfather,1972-03-14,8.7,18062,102.104
2,278,The Shawshank Redemption,1994-09-23,8.7,23919,71.622
3,240,The Godfather Part II,1974-12-20,8.6,10907,52.223
4,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4145,25.124
5,424,Schindler's List,1993-12-15,8.6,14143,42.963
6,129,Spirited Away,2001-07-20,8.5,14395,70.0
7,389,12 Angry Men,1957-04-10,8.5,7326,32.993
8,372058,Your Name.,2016-08-26,8.5,9915,83.412
9,496243,Parasite,2019-05-30,8.5,15851,53.923
10,497,The Green Mile,1999-12-10,8.5,15480,62.288
11,155,The Dark Knight,2008-07-14,8.5,29841,79.121
12,772071,Cuando Sea Joven,2022-09-14,8.5,242,19.418
13,680,Pulp Fiction,1994-09-10,8.5,25282,57.03
14,13,Forrest Gump,1994-06-23,8.5,24769,54.7
15,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7450,46.982
16,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21700,70.752
17,704264,Primal: Tales of Savagery,2019-11-21,8.5,265,13.603
18,769,GoodFellas,1990-09-12,8.5,11331,41.922
19,346,Seven Samurai,1954-04-26,8.5,3081,22.029
20,11216,Cinema Paradiso,1988-11-17,8.5,3776,26.805
21,372754,Dou kyu sei – Classmates,2016-02-20,8.5,309,14.103
22,696374,Gabriel's Inferno,2020-05-29,8.5,2341,12.729
23,637,Life Is Beautiful,1997-12-20,8.5,11940,41.286
24,12477,Grave of the Fireflies,1988-04-16,8.4,4675,0.6
25,539,Psycho,1960-06-22,8.4,9002,35.149
26,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.4,341,19.345
27,311,Once Upon a Time in America,1984-05-23,8.4,4703,30.57
28,724089,Gabriel's Inferno: Part II,2020-07-31,8.4,1474,21.25
29,550,Fight Club,1999-10-15,8.4,26554,68.984
30,667257,Impossible Things,2021-06-17,8.4,336,9.344
31,620249,The Legend of Hei,2019-08-27,8.4,269,13.67
32,598,City of God,2002-08-30,8.4,6504,46.556
33,510,One Flew Over the Cuckoo's Nest,1975-11-19,8.4,9413,33.657
34,761053,Gabriel's Inferno: Part III,2020-11-19,8.4,1017,24.597
